Carrera/Titulación,Carrera Gestional,Especialidad,Vacante,Avance,Semestres Totales,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Ingles,Destacado,Ingresados Si/No,Apto,Apto suma
Ing. Materiales,Ing. Materiales,Ingenierías Target,Practicante,6,10.0,1,1,2,0,0,0,2,0,1,0,0,2,4
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,5,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,10.0,1,1,0,0,1,2,0,0,1,0,0,2,5
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,0,2,0,1,0,0,1,0,0,2,5
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,8,10.0,1,1,2,0,0,2,0,0,1,0,0,2,6
Ing. Administración de Sistemas,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Materiales,Ing. Materiales,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Electrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Sistemas Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Ambiental ,Ing. Ambiental ,Otras Ingenierías,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Administración,Administración,Negocios,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,1,1,2,2,0,2,2,0,2,0,0,2,9
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Ambiental ,Ing. Ambiental,Otras Ingenierías,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Manufactura,Ing. Manufactura,Otras Ingenierías,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,1,0,0,1,0,1,0,0,1,0,0,1,3
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Física,Ing. Física,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Economía,Economía/Finanzas,Negocios,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Nanotecnología,Ing. Nanotecnología,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Ambiental ,Ing. Ambiental,Otras Ingenierías,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,1,2,0,2,0,0,0,1,0,0,2,6
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Energía,Ing. Energía,Otras Ingenierías,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,13,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,0,2,0,0,0,0,1,0,0,2,4
Ing. Ambiental ,Ing. Ambiental,Otras Ingenierías,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,1,2,2,0,0,2,0,1,0,0,2,6
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Practicante,7,10.0,1,1,2,2,1,2,0,0,2,0,0,2,10
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,11,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,11,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,1,0,0,1,0,0,0,0,1,0,0,1,2
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,1,0,0,1,0,0,0,0,1,0,0,1,2
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,1,0,1,1,0,0,0,0,1,0,0,1,3
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Metalúrgica,Ing. Metalúrgica,Ingenierías Target,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Minas,Ing. Minas,Minería,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Geología ,Ing. Geología,Otras Ingenierías,Practicante,7,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,Practicante,5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Bioquímica,Ing. Bioquímica,Otras Ingenierías,Practicante,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
